Setpoint,8V,Setpoint,8.25V,Setpoint,8.5V,Setpoint,9V,Setpoint,9.5V,Setpoint,10V,Setpoint,12V,,Voltage,Ideal
,,,,,,,,,,,,,,876,0.716630037,5.996904072
,,,,,,,,,,,,,,877,0.717448107,6.003749853
,,,,,,,,,,,,,,878,0.718266178,6.010595634
,,,,,,,,,,,,,,879,0.719084249,6.017441415
,,,,,,,,,,,,,,880,0.71990232,6.024287196
,,,,,,,,,,,,,,881,0.720720391,6.031132977
,,,,,,,,,,,,,,882,0.721538462,6.037978758
,,,,,,,,,,,,,,883,0.722356532,6.044824539
,,,,,,,,,,,,,,884,0.723174603,6.051670319
,,,,,,,,,,,,,,885,0.723992674,6.0585161
,,,,,,,,,,,,,,886,0.724810745,6.065361881
,,,,,,,,,,,,,,887,0.725628816,6.072207662
,,,,,,,,,,,,,,888,0.726446886,6.079053443
,,,,,,,,,,,,,,889,0.727264957,6.085899224
,,,,,,,,,,,,,,890,0.728083028,6.092745005
,,,,,,,,,,,,,,891,0.728901099,6.099590786
,,,,,,,,,,,,,,892,0.72971917,6.106436567
,,,,,,,,,,,,,,893,0.730537241,6.113282348
,,,,,,,,,,,,,,894,0.731355311,6.120128128
,,,,,,,,,,,,,,895,0.732173382,6.126973909
,,,,,,,,,,,,,,896,0.732991453,6.13381969
,,,,,,,,,,,,,,897,0.733809524,6.140665471
,,,,,,,,,,,,,,898,0.734627595,6.147511252
,,,,,,,,,,,,,,899,0.735445665,6.154357033
,,,,,,,,,,,,,,900,0.736263736,6.161202814
,,,,,,,,,,,,,,901,0.737081807,6.168048595
,,,,,,,,,,,,,,902,0.737899878,6.174894376
,,,,,,,,,,,,,,903,0.738717949,6.181740157
,,,,,,,,,,,,,,904,0.73953602,6.188585938
,,,,,,,,,,,,,,905,0.74035409,6.195431718
,,,,,,,,,,,,,,906,0.741172161,6.202277499
,,,,,,,,,,,,,,907,0.741990232,6.20912328
,,,,,,,,,,,,,,908,0.742808303,6.215969061
,,,,,,,,,,,,,,909,0.743626374,6.222814842
,,,,,,,,,,,,,,910,0.744444444,6.229660623
,,,,,,,,,,,,,,911,0.745262515,6.236506404
,,,,,,,,,,,,,,912,0.746080586,6.243352185
,,,,,,,,,,,,,,913,0.746898657,6.250197966
,,,,,,,,,,,,,,914,0.747716728,6.257043747
,,,,,,,,,,,,,,915,0.748534799,6.263889527
,,,,,,,,,,,,,,916,0.749352869,6.270735308
,,,,,,,,,,,,,,917,0.75017094,6.277581089
,,,,,,,,,,,,,,918,0.750989011,6.28442687
,,,,,,,,,,,,,,919,0.751807082,6.291272651
,,,,,,,,,,,,,,920,0.752625153,6.298118432
,,,,,,,,,,,,,,921,0.753443223,6.304964213
,,,,,,,,,,,,,,922,0.754261294,6.311809994
,,,,,,,,,,,,,,923,0.755079365,6.318655775
,,,,,,,,,,,,,,924,0.755897436,6.325501556
,,,,,,,,,,,,,,925,0.756715507,6.332347337
,,,,,,,,,,,,,,926,0.757533578,6.339193117
,,,,,,,,,,,,,,927,0.758351648,6.346038898
,,,,,,,,,,,,,,928,0.759169719,6.352884679
,,,,,,,,,,,,,,929,0.75998779,6.35973046
,,,,,,,,,,,,,,930,0.760805861,6.366576241
,,,,,,,,,,,,,,931,0.761623932,6.373422022
,,,,,,,,,,,,,,932,0.762442002,6.380267803
,,,,,,,,,,,,,,933,0.763260073,6.387113584
,,,,,,,,,,,,,,934,0.764078144,6.393959365
,,,,,,,,,,,,,,935,0.764896215,6.400805146
,,,,,,,,,,,,,,936,0.765714286,6.407650926
,,,,,,,,,,,,,,937,0.766532357,6.414496707
,,,,,,,,,,,,,,938,0.767350427,6.421342488
,,,,,,,,,,,,,,939,0.768168498,6.428188269
,,,,,,,,,,,,,,940,0.768986569,6.43503405
,,,,,,,,,,,,,,941,0.76980464,6.441879831
,,,,,,,,,,,,,,942,0.770622711,6.448725612
,,,,,,,,,,,,,,943,0.771440781,6.455571393
,,,,,,,,,,,,,,944,0.772258852,6.462417174
,,,,,,,,,,,,,,945,0.773076923,6.469262955
,,,,,,,,,,,,,,946,0.773894994,6.476108736
,,,,,,,,,,,,,,947,0.774713065,6.482954516
,,,,,,,,,,,,,,948,0.775531136,6.489800297
,,,,,,,,,,,,,,949,0.776349206,6.496646078
,,,,,,,,,,,,,,950,0.777167277,6.503491859
,,,,,,,,,,,,,,951,0.777985348,6.51033764
,,,,,,,,,,,,,,952,0.778803419,6.517183421
,,,,,,,,,,,,,,953,0.77962149,6.524029202
,,,,,,,,,,,,,,954,0.78043956,6.530874983
,,,,,,,,,,,,,,955,0.781257631,6.537720764
,,,,,,,,,,,,,,956,0.782075702,6.544566545
,,,,,,,,,,,,,,957,0.782893773,6.551412325
,,,,,,,,,,,,,,958,0.783711844,6.558258106
,,,,,,,,,,,,,,959,0.784529915,6.565103887
,,,,,,,,,,,,,,960,0.785347985,6.571949668
,,,,,,,,,,,,,,961,0.786166056,6.578795449
,,,,,,,,,,,,,,962,0.786984127,6.58564123
,,,,,,,,,,,,,,963,0.787802198,6.592487011
,,,,,,,,,,,,,,964,0.788620269,6.599332792
,,,,,,,,,,,,,,965,0.789438339,6.606178573
,,,,,,,,,,,,,,966,0.79025641,6.613024354
,,,,,,,,,,,,,,967,0.791074481,6.619870135
,,,,,,,,,,,,,,968,0.791892552,6.626715915
,,,,,,,,,,,,,,969,0.792710623,6.633561696
,,,,,,,,,,,,,,970,0.793528694,6.640407477
,,,,,,,,,,,,,,971,0.794346764,6.647253258
,,,,,,,,,,,,,,972,0.795164835,6.654099039
,,,,,,,,,,,,,,973,0.795982906,6.66094482
,,,,,,,,,,,,,,974,0.796800977,6.667790601
,,,,,,,,,,,,,,975,0.797619048,6.674636382
,,,,,,,,,,,,,,976,0.798437118,6.681482163
,,,,,,,,,,,,,,977,0.799255189,6.688327944
,,,,,,,,,,,,,,978,0.80007326,6.695173724
,,,,,,,,,,,,,,979,0.800891331,6.702019505
,,,,,,,,,,,,,,980,0.801709402,6.708865286
,,,,,,,,,,,,,,981,0.802527473,6.715711067
,,,,,,,,,,,,,,982,0.803345543,6.722556848
,,,,,,,,,,,,,,983,0.804163614,6.729402629
,,,,,,,,,,,,,,984,0.804981685,6.73624841
,,,,,,,,,,,,,,985,0.805799756,6.743094191
,,,,,,,,,,,,,,986,0.806617827,6.749939972
,,,,,,,,,,,,,,987,0.807435897,6.756785753
,,,,,,,,,,,,,,988,0.808253968,6.763631534
,,,,,,,,,,,,,,989,0.809072039,6.770477314
,,,,,,,,,,,,,,990,0.80989011,6.777323095
,,,,,,,,,,,,,,991,0.810708181,6.784168876
,,,,,,,,,,,,,,992,0.811526252,6.791014657
,,,,,,,,,,,,,,993,0.812344322,6.797860438
,,,,,,,,,,,,,,994,0.813162393,6.804706219
,,,,,,,,,,,,,,995,0.813980464,6.811552
,,,,,,,,,,,,,,996,0.814798535,6.818397781
,,,,,,,,,,,,,,997,0.815616606,6.825243562
,,,,,,,,,,,,,,998,0.816434676,6.832089343
,,,,,,,,,,,,,,999,0.817252747,6.838935123
,,,,,,,,,,,,,,1000,0.818070818,6.845780904
,,,,,,,,,,,,,,1001,0.818888889,6.852626685
,,,,,,,,,,,,,,1002,0.81970696,6.859472466
,,,,,,,,,,,,,,1003,0.820525031,6.866318247
,,,,,,,,,,,,,,1004,0.821343101,6.873164028
,,,,,,,,,,,,,,1005,0.822161172,6.880009809
,,,,,,,,,,,,,,1006,0.822979243,6.88685559
,,,,,,,,,,,,,,1007,0.823797314,6.893701371
,,,,,,,,,,,,,,1008,0.824615385,6.900547152
,,,,,,,,,,,,,,1009,0.825433455,6.907392932
,,,,,,,,,,,,,,1010,0.826251526,6.914238713
,,,,,,,,,,,,,,1011,0.827069597,6.921084494
,,,,,,,,,,,,,,1012,0.827887668,6.927930275
,,,,,,,,,,,,,,1013,0.828705739,6.934776056
,,,,,,,,,,,,,,1014,0.82952381,6.941621837
,,,,,,,,,,,,,,1015,0.83034188,6.948467618
,,,,,,,,,,,,,,1016,0.831159951,6.955313399
,,,,,,,,,,,,,,1017,0.831978022,6.96215918
,,,,,,,,,,,,,,1018,0.832796093,6.969004961
,,,,,,,,,,,,,,1019,0.833614164,6.975850742
,,,,,,,,,,,,,,1020,0.834432234,6.982696522
,,,,,,,,,,,,,,1021,0.835250305,6.989542303
,,,,,,,,,,,,,,1022,0.836068376,6.996388084
,,,,,,,,,,,,,,1023,0.836886447,7.003233865
,,,,,,,,,,,,,,1024,0.837704518,7.010079646
,,,,,,,,,,,,,,1025,0.838522589,7.016925427
,,,,,,,,,,,,,,1026,0.839340659,7.023771208
,,,,,,,,,,,,,,1027,0.84015873,7.030616989
,,,,,,,,,,,,,,1028,0.840976801,7.03746277
,,,,,,,,,,,,,,1029,0.841794872,7.044308551
,,,,,,,,,,,,,,1030,0.842612943,7.051154331
,,,,,,,,,,,,,,1031,0.843431013,7.058000112
,,,,,,,,,,,,,,1032,0.844249084,7.064845893
,,,,,,,,,,,,,,1033,0.845067155,7.071691674
,,,,,,,,,,,,,,1034,0.845885226,7.078537455
,,,,,,,,,,,,,,1035,0.846703297,7.085383236
,,,,,,,,,,,,,,1036,0.847521368,7.092229017
,,,,,,,,,,,,,,1037,0.848339438,7.099074798
,,,,,,,,,,,,,,1038,0.849157509,7.105920579
,,,,,,,,,,,,,,1039,0.84997558,7.11276636
,,,,,,,,,,,,,,1040,0.850793651,7.119612141
,,,,,,,,,,,,,,1041,0.851611722,7.126457921
,,,,,,,,,,,,,,1042,0.852429792,7.133303702
,,,,,,,,,,,,,,1043,0.853247863,7.140149483
,,,,,,,,,,,,,,1044,0.854065934,7.146995264
,,,,,,,,,,,,,,1045,0.854884005,7.153841045
,,,,,,,,,,,,,,1046,0.855702076,7.160686826
,,,,,,,,,,,,,,1047,0.856520147,7.167532607
,,,,,,,,,,,,,,1048,0.857338217,7.174378388
,,,,,,,,,,,,,,1049,0.858156288,7.181224169
,,,,,,,,,,,,,,1050,0.858974359,7.18806995
,,,,,,,,,,,,,,1051,0.85979243,7.19491573
,,,,,,,,,,,,,,1052,0.860610501,7.201761511
,,,,,,,,,,,,,,1053,0.861428571,7.208607292
,,,,,,,,,,,,,,1054,0.862246642,7.215453073
,,,,,,,,,,,,,,1055,0.863064713,7.222298854
,,,,,,,,,,,,,,1056,0.863882784,7.229144635
,,,,,,,,,,,,,,1057,0.864700855,7.235990416
,,,,,,,,,,,,,,1058,0.865518926,7.242836197
,,,,,,,,,,,,,,1059,0.866336996,7.249681978
,,,,,,,,,,,,,,1060,0.867155067,7.256527759
,,,,,,,,,,,,,,1061,0.867973138,7.26337354
,,,,,,,,,,,,,,1062,0.868791209,7.27021932
,,,,,,,,,,,,,,1063,0.86960928,7.277065101
,,,,,,,,,,,,,,1064,0.87042735,7.283910882
,,,,,,,,,,,,,,1065,0.871245421,7.290756663
,,,,,,,,,,,,,,1066,0.872063492,7.297602444
,,,,,,,,,,,,,,1067,0.872881563,7.304448225
,,,,,,,,,,,,,,1068,0.873699634,7.311294006
,,,,,,,,,,,,,,1069,0.874517705,7.318139787
,,,,,,,,,,,,,,1070,0.875335775,7.324985568
,,,,,,,,,,,,,,1071,0.876153846,7.331831349
,,,,,,,,,,,,,,1072,0.876971917,7.338677129
,,,,,,,,,,,,,,1073,0.877789988,7.34552291
,,,,,,,,,,,,,,1074,0.878608059,7.352368691
,,,,,,,,,,,,,,1075,0.879426129,7.359214472
,,,,,,,,,,,,,,1076,0.8802442,7.366060253
,,,,,,,,,,,,,,1077,0.881062271,7.372906034
,,,,,,,,,,,,,,1078,0.881880342,7.379751815
,,,,,,,,,,,,,,1079,0.882698413,7.386597596
,,,,,,,,,,,,,,1080,0.883516484,7.393443377
,,,,,,,,,,,,,,1081,0.884334554,7.400289158
,,,,,,,,,,,,,,1082,0.885152625,7.407134939
,,,,,,,,,,,,,,1083,0.885970696,7.413980719
,,,,,,,,,,,,,,1084,0.886788767,7.4208265
,,,,,,,,,,,,,,1085,0.887606838,7.427672281
,,,,,,,,,,,,,,1086,0.888424908,7.434518062
,,,,,,,,,,,,,,1087,0.889242979,7.441363843
,,,,,,,,,,,,,,1088,0.89006105,7.448209624
,,,,,,,,,,,,,,1089,0.890879121,7.455055405
,,,,,,,,,,,,,,1090,0.891697192,7.461901186
,,,,,,,,,,,,,,1091,0.892515263,7.468746967
,,,,,,,,,,,,,,1092,0.893333333,7.475592748
,,,,,,,,,,,,,,1093,0.894151404,7.482438528
,,,,,,,,,,,,,,1094,0.894969475,7.489284309
,,,,,,,,,,,,,,1095,0.895787546,7.49613009
,,,,,,,,,,,,,,1096,0.896605617,7.502975871
,,,,,,,,,,,,,,1097,0.897423687,7.509821652
,,,,,,,,,,,,,,1098,0.898241758,7.516667433
,,,,,,,,,,,,,,1099,0.899059829,7.523513214
,,,,,,,,,,,,,,1100,0.8998779,7.530358995
,,,,,,,,,,,,,,1101,0.900695971,7.537204776
,,,,,,,,,,,,,,1102,0.901514042,7.544050557
,,,,,,,,,,,,,,1103,0.902332112,7.550896338
,,,,,,,,,,,,,,1104,0.903150183,7.557742118
,,,,,,,,,,,,,,1105,0.903968254,7.564587899
,,,,,,,,,,,,,,1106,0.904786325,7.57143368
,,,,,,,,,,,,,,1107,0.905604396,7.578279461
,,,,,,,,,,,,,,1108,0.906422466,7.585125242
,,,,,,,,,,,,,,1109,0.907240537,7.591971023
,,,,,,,,,,,,,,1110,0.908058608,7.598816804
,,,,,,,,,,,,,,1111,0.908876679,7.605662585
,,,,,,,,,,,,,,1112,0.90969475,7.612508366
,,,,,,,,,,,,,,1113,0.910512821,7.619354147
,,,,,,,,,,,,,,1114,0.911330891,7.626199927
,,,,,,,,,,,,,,1115,0.912148962,7.633045708
,,,,,,,,,,,,,,1116,0.912967033,7.639891489
,,,,,,,,,,,,,,1117,0.913785104,7.64673727
,,,,,,,,,,,,,,1118,0.914603175,7.653583051
,,,,,,,,,,,,,,1119,0.915421245,7.660428832
,,,,,,,,,,,,,,1120,0.916239316,7.667274613
,,,,,,,,,,,,,,1121,0.917057387,7.674120394
,,,,,,,,,,,,,,1122,0.917875458,7.680966175
,,,,,,,,,,,,,,1123,0.918693529,7.687811956
,,,,,,,,,,,,,,1124,0.9195116,7.694657736
,,,,,,,,,,,,,,1125,0.92032967,7.701503517
,,,,,,,,,,,,,,1126,0.921147741,7.708349298
,,,,,,,,,,,,,,1127,0.921965812,7.715195079
,,,,,,,,,,,,,,1128,0.922783883,7.72204086
,,,,,,,,,,,,,,1129,0.923601954,7.728886641
,,,,,,,,,,,,,,1130,0.924420024,7.735732422
,,,,,,,,,,,,,,1131,0.925238095,7.742578203
,,,,,,,,,,,,,,1132,0.926056166,7.749423984
,,,,,,,,,,,,,,1133,0.926874237,7.756269765
,,,,,,,,,,,,,,1134,0.927692308,7.763115546
,,,,,,,,,,,,,,1135,0.928510379,7.769961326
,,,,,,,,,,,,,,1136,0.929328449,7.776807107
,,,,,,,,,,,,,,1137,0.93014652,7.783652888
,,,,,,,,,,,,,,1138,0.930964591,7.790498669
,,,,,,,,,,,,,,1139,0.931782662,7.79734445
,,,,,,,,,,,,,,1140,0.932600733,7.804190231
,,,,,,,,,,,,,,1141,0.933418803,7.811036012
,,,,,,,,,,,,,,1142,0.934236874,7.817881793
,,,,,,,,,,,,,,1143,0.935054945,7.824727574
,,,,,,,,,,,,,,1144,0.935873016,7.831573355
,,,,,,,,,,,,,,1145,0.936691087,7.838419135
,,,,,,,,,,,,,,1146,0.937509158,7.845264916
,,,,,,,,,,,,,,1147,0.938327228,7.852110697
,,,,,,,,,,,,,,1148,0.939145299,7.858956478
,,,,,,,,,,,,,,1149,0.93996337,7.865802259
,,,,,,,,,,,,,,1150,0.940781441,7.87264804
,,,,,,,,,,,,,,1151,0.941599512,7.879493821
,,,,,,,,,,,,,,1152,0.942417582,7.886339602
,,,,,,,,,,,,,,1153,0.943235653,7.893185383
,,,,,,,,,,,,,,1154,0.944053724,7.900031164
,,,,,,,,,,,,,,1155,0.944871795,7.906876945
,,,,,,,,,,,,,,1156,0.945689866,7.913722725
,,,,,,,,,,,,,,1157,0.946507937,7.920568506
,,,,,,,,,,,,,,1158,0.947326007,7.927414287
,,,,,,,,,,,,,,1159,0.948144078,7.934260068
,,,,,,,,,,,,,,1160,0.948962149,7.941105849
,,,,,,,,,,,,,,1161,0.94978022,7.94795163
,,,,,,,,,,,,,,1162,0.950598291,7.954797411
,,,,,,,,,,,,,,1163,0.951416361,7.961643192
,,,,,,,,,,,,,,1164,0.952234432,7.968488973
,,,,,,,,,,,,,,1165,0.953052503,7.975334754
,,,,,,,,,,,,,,1166,0.953870574,7.982180534
,,,,,,,,,,,,,,1167,0.954688645,7.989026315
,,,,,,,,,,,,,,1168,0.955506716,7.995872096
,,,,,,,,,,,,,,1169,0.956324786,8.002717877
,,,,,,,,,,,,,,1170,0.957142857,8.009563658
,,,,,,,,,,,,,,1171,0.957960928,8.016409439
,,,,,,,,,,,,,,1172,0.958778999,8.02325522
,,,,,,,,,,,,,,1173,0.95959707,8.030101001
,,,,,,,,,,,,,,1174,0.96041514,8.036946782
,,,,,,,,,,,,,,1175,0.961233211,8.043792563
,,,,,,,,,,,,,,1176,0.962051282,8.050638344
,,,,,,,,,,,,,,1177,0.962869353,8.057484124
,,,,,,,,,,,,,,1178,0.963687424,8.064329905
,,,,,,,,,,,,,,1179,0.964505495,8.071175686
,,,,,,,,,,,,,,1180,0.965323565,8.078021467
,,,,,,,,,,,,,,1181,0.966141636,8.084867248
,,,,,,,,,,,,,,1182,0.966959707,8.091713029
,,,,,,,,,,,,,,1183,0.967777778,8.09855881
,,,,,,,,,,,,,,1184,0.968595849,8.105404591
,,,,,,,,,,,,,,1185,0.969413919,8.112250372
,,,,,,,,,,,,,,1186,0.97023199,8.119096153
,,,,,,,,,,,,,,1187,0.971050061,8.125941933
,,,,,,,,,,,,,,1188,0.971868132,8.132787714
,,,,,,,,,,,,,,1189,0.972686203,8.139633495
,,,,,,,,,,,,,,1190,0.973504274,8.146479276
,,,,,,,,,,,,,,1191,0.974322344,8.153325057
,,,,,,,,,,,,,,1192,0.975140415,8.160170838
,,,,,,,,,,,,,,1193,0.975958486,8.167016619
,,,,,,,,,,,,,,1194,0.976776557,8.1738624
,,,,,,,,,,,,,,1195,0.977594628,8.180708181
,,,,,,,,,,,,,,1196,0.978412698,8.187553962
,,,,,,,,,,,,,,1197,0.979230769,8.194399743
,,,,,,,,,,,,,,1198,0.98004884,8.201245523
,,,,,,,,,,,,,,1199,0.980866911,8.208091304
,,,,,,,,,,,,,,1200,0.981684982,8.214937085
,,,,,,,,,,,,,,1201,0.982503053,8.221782866
,,,,,,,,,,,,,,1202,0.983321123,8.228628647
,,,,,,,,,,,,,,1203,0.984139194,8.235474428
,,,,,,,,,,,,,,1204,0.984957265,8.242320209
,,,,,,,,,,,,,,1205,0.985775336,8.24916599
,,,,,,,,,,,,,,1206,0.986593407,8.256011771
,,,,,,,,,,,,,,1207,0.987411477,8.262857552
,,,,,,,,,,,,,,1208,0.988229548,8.269703332
,,,,,,,,,,,,,,1209,0.989047619,8.276549113
,,,,,,,,,,,,,,1210,0.98986569,8.283394894
,,,,,,,,,,,,,,1211,0.990683761,8.290240675
,,,,,,,,,,,,,,1212,0.991501832,8.297086456
,,,,,,,,,,,,,,1213,0.992319902,8.303932237
,,,,,,,,,,,,,,1214,0.993137973,8.310778018
,,,,,,,,,,,,,,1215,0.993956044,8.317623799
,,,,,,,,,,,,,,1216,0.994774115,8.32446958
,,,,,,,,,,,,,,1217,0.995592186,8.331315361
,,,,,,,,,,,,,,1218,0.996410256,8.338161142
,,,,,,,,,,,,,,1219,0.997228327,8.345006922
,,,,,,,,,,,,,,1220,0.998046398,8.351852703
,,,,,,,,,,,,,,1221,0.998864469,8.358698484
,,,,,,,,,,,,,,1222,0.99968254,8.365544265
,,,,,,,,,,,,,,1223,1.000500611,8.372390046
,,,,,,,,,,,,,,1224,1.001318681,8.379235827
,,,,,,,,,,,,,,1225,1.002136752,8.386081608
,,,,,,,,,,,,,,1226,1.002954823,8.392927389
,,,,,,,,,,,,,,1227,1.003772894,8.39977317
,,,,,,,,,,,,,,1228,1.004590965,8.406618951
,,,,,,,,,,,,,,1229,1.005409035,8.413464731
,,,,,,,,,,,,,,1230,1.006227106,8.420310512
,,,,,,,,,,,,,,1231,1.007045177,8.427156293
,,,,,,,,,,,,,,1232,1.007863248,8.434002074
,,,,,,,,,,,,,,1233,1.008681319,8.440847855
,,,,,,,,,,,,,,1234,1.009499389,8.447693636
,,,,,,,,,,,,,,1235,1.01031746,8.454539417
,,,,,,,,,,,,,,1236,1.011135531,8.461385198
,,,,,,,,,,,,,,1237,1.011953602,8.468230979
,,,,,,,,,,,,,,1238,1.012771673,8.47507676
,,,,,,,,,,,,,,1239,1.013589744,8.48192254
,,,,,,,,,,,,,,1240,1.014407814,8.488768321
,,,,,,,,,,,,,,1241,1.015225885,8.495614102
,,,,,,,,,,,,,,1242,1.016043956,8.502459883
,,,,,,,,,,,,,,1243,1.016862027,8.509305664
,,,,,,,,,,,,,,1244,1.017680098,8.516151445
,,,,,,,,,,,,,,1245,1.018498168,8.522997226
,,,,,,,,,,,,,,1246,1.019316239,8.529843007
,,,,,,,,,,,,,,1247,1.02013431,8.536688788
,,,,,,,,,,,,,,1248,1.020952381,8.543534569
,,,,,,,,,,,,,,1249,1.021770452,8.55038035
,,,,,,,,,,,,,,1250,1.022588523,8.55722613
,,,,,,,,,,,,,,1251,1.023406593,8.564071911
,,,,,,,,,,,,,,1252,1.024224664,8.570917692
,,,,,,,,,,,,,,1253,1.025042735,8.577763473
,,,,,,,,,,,,,,1254,1.025860806,8.584609254
,,,,,,,,,,,,,,1255,1.026678877,8.591455035
,,,,,,,,,,,,,,1256,1.027496947,8.598300816
,,,,,,,,,,,,,,1257,1.028315018,8.605146597
,,,,,,,,,,,,,,1258,1.029133089,8.611992378
,,,,,,,,,,,,,,1259,1.02995116,8.618838159
,,,,,,,,,,,,,,1260,1.030769231,8.625683939
,,,,,,,,,,,,,,1261,1.031587302,8.63252972
,,,,,,,,,,,,,,1262,1.032405372,8.639375501
,,,,,,,,,,,,,,1263,1.033223443,8.646221282
,,,,,,,,,,,,,,1264,1.034041514,8.653067063
,,,,,,,,,,,,,,1265,1.034859585,8.659912844
,,,,,,,,,,,,,,1266,1.035677656,8.666758625
,,,,,,,,,,,,,,1267,1.036495726,8.673604406
,,,,,,,,,,,,,,1268,1.037313797,8.680450187
,,,,,,,,,,,,,,1269,1.038131868,8.687295968
,,,,,,,,,,,,,,1270,1.038949939,8.694141749
,,,,,,,,,,,,,,1271,1.03976801,8.700987529
,,,,,,,,,,,,,,1272,1.040586081,8.70783331
,,,,,,,,,,,,,,1273,1.041404151,8.714679091
,,,,,,,,,,,,,,1274,1.042222222,8.721524872
,,,,,,,,,,,,,,1275,1.043040293,8.728370653
,,,,,,,,,,,,,,1276,1.043858364,8.735216434
,,,,,,,,,,,,,,1277,1.044676435,8.742062215
,,,,,,,,,,,,,,1278,1.045494505,8.748907996
,,,,,,,,,,,,,,1279,1.046312576,8.755753777
,,,,,,,,,,,,,,1280,1.047130647,8.762599558
,,,,,,,,,,,,,,1281,1.047948718,8.769445338
,,,,,,,,,,,,,,1282,1.048766789,8.776291119
,,,,,,,,,,,,,,1283,1.04958486,8.7831369
,,,,,,,,,,,,,,1284,1.05040293,8.789982681
,,,,,,,,,,,,,,1285,1.051221001,8.796828462
,,,,,,,,,,,,,,1286,1.052039072,8.803674243
,,,,,,,,,,,,,,1287,1.052857143,8.810520024
,,,,,,,,,,,,,,1288,1.053675214,8.817365805
,,,,,,,,,,,,,,1289,1.054493284,8.824211586
,,,,,,,,,,,,,,1290,1.055311355,8.831057367
,,,,,,,,,,,,,,1291,1.056129426,8.837903148
,,,,,,,,,,,,,,1292,1.056947497,8.844748928
,,,,,,,,,,,,,,1293,1.057765568,8.851594709
,,,,,,,,,,,,,,1294,1.058583639,8.85844049
,,,,,,,,,,,,,,1295,1.059401709,8.865286271
,,,,,,,,,,,,,,1296,1.06021978,8.872132052
,,,,,,,,,,,,,,1297,1.061037851,8.878977833
,,,,,,,,,,,,,,1298,1.061855922,8.885823614
,,,,,,,,,,,,,,1299,1.062673993,8.892669395
,,,,,,,,,,,,,,1300,1.063492063,8.899515176
,,,,,,,,,,,,,,1301,1.064310134,8.906360957
,,,,,,,,,,,,,,1302,1.065128205,8.913206737
,,,,,,,,,,,,,,1303,1.065946276,8.920052518
,,,,,,,,,,,,,,1304,1.066764347,8.926898299
,,,,,,,,,,,,,,1305,1.067582418,8.93374408
,,,,,,,,,,,,,,1306,1.068400488,8.940589861
,,,,,,,,,,,,,,1307,1.069218559,8.947435642
,,,,,,,,,,,,,,1308,1.07003663,8.954281423
,,,,,,,,,,,,,,1309,1.070854701,8.961127204
,,,,,,,,,,,,,,1310,1.071672772,8.967972985
,,,,,,,,,,,,,,1311,1.072490842,8.974818766
,,,,,,,,,,,,,,1312,1.073308913,8.981664547
,,,,,,,,,,,,,,1313,1.074126984,8.988510327
,,,,,,,,,,,,,,1314,1.074945055,8.995356108
,,,,,,,,,,,,,,1315,1.075763126,9.002201889
,,,,,,,,,,,,,,1316,1.076581197,9.00904767
,,,,,,,,,,,,,,1317,1.077399267,9.015893451
,,,,,,,,,,,,,,1318,1.078217338,9.022739232
,,,,,,,,,,,,,,1319,1.079035409,9.029585013
,,,,,,,,,,,,,,1320,1.07985348,9.036430794
,,,,,,,,,,,,,,1321,1.080671551,9.043276575
,,,,,,,,,,,,,,1322,1.081489621,9.050122356
,,,,,,,,,,,,,,1323,1.082307692,9.056968136
,,,,,,,,,,,,,,1324,1.083125763,9.063813917
,,,,,,,,,,,,,,1325,1.083943834,9.070659698
,,,,,,,,,,,,,,1326,1.084761905,9.077505479
,,,,,,,,,,,,,,1327,1.085579976,9.08435126
,,,,,,,,,,,,,,1328,1.086398046,9.091197041
,,,,,,,,,,,,,,1329,1.087216117,9.098042822
,,,,,,,,,,,,,,1330,1.088034188,9.104888603
,,,,,,,,,,,,,,1331,1.088852259,9.111734384
,,,,,,,,,,,,,,1332,1.08967033,9.118580165
,,,,,,,,,,,,,,1333,1.0904884,9.125425946
,,,,,,,,,,,,,,1334,1.091306471,9.132271726
,,,,,,,,,,,,,,1335,1.092124542,9.139117507
,,,,,,,,,,,,,,1336,1.092942613,9.145963288
,,,,,,,,,,,,,,1337,1.093760684,9.152809069
,,,,,,,,,,,,,,1338,1.094578755,9.15965485
,,,,,,,,,,,,,,1339,1.095396825,9.166500631
,,,,,,,,,,,,,,1340,1.096214896,9.173346412
,,,,,,,,,,,,,,1341,1.097032967,9.180192193
,,,,,,,,,,,,,,1342,1.097851038,9.187037974
,,,,,,,,,,,,,,1343,1.098669109,9.193883755
,,,,,,,,,,,,,,1344,1.099487179,9.200729535
,,,,,,,,,,,,,,1345,1.10030525,9.207575316
,,,,,,,,,,,,,,1346,1.101123321,9.214421097
,,,,,,,,,,,,,,1347,1.101941392,9.221266878
,,,,,,,,,,,,,,1348,1.102759463,9.228112659
,,,,,,,,,,,,,,1349,1.103577534,9.23495844
,,,,,,,,,,,,,,1350,1.104395604,9.241804221
,,,,,,,,,,,,,,1351,1.105213675,9.248650002
,,,,,,,,,,,,,,1352,1.106031746,9.255495783
,,,,,,,,,,,,,,1353,1.106849817,9.262341564
,,,,,,,,,,,,,,1354,1.107667888,9.269187345
,,,,,,,,,,,,,,1355,1.108485958,9.276033125
,,,,,,,,,,,,,,1356,1.109304029,9.282878906
,,,,,,,,,,,,,,1357,1.1101221,9.289724687
,,,,,,,,,,,,,,1358,1.110940171,9.296570468
,,,,,,,,,,,,,,1359,1.111758242,9.303416249
